node,x,y
1,47.0527089,15.440467
2,47.0530285,15.4411845
9026,47.0532432,15.441667
8029,47.0535531,15.4424052
888,47.0537194,15.4427733
6847,47.0540493,15.4424516
1453,47.0549533,15.4416709
6846,47.0555556,15.4411261
8036,47.0557429,15.4409848
1447,47.0560179,15.4409365
9023,47.0572156,15.4407852
8035,47.0573635,15.44076
7214,47.0575367,15.440735
5758,47.058293,15.4406308
5752,47.0583776,15.4406079
8033,47.0588848,15.4405337
1464,47.0594072,15.4404773
8034,47.0599362,15.4404055
6355,47.0602424,15.4403634
1853,47.0605695,15.4403083
432,47.0612677,15.4401968
1475,47.0618315,15.4401111
1471,47.0624349,15.4400394
5477,47.0625335,15.4400336
6122,47.0627578,15.4399922
3653,47.0631983,15.4399474
194,47.064149,15.4398241
3652,47.0645537,15.4402041
1842,47.0645989,15.440573
7245,47.0645795,15.440694
1844,47.0645166,15.4412354
7246,47.0645143,15.4412626
7247,47.0644518,15.4416642
1845,47.064356,15.4421078
195,47.0644558,15.4426864
175,47.0649845,15.4432245
822,47.0657154,15.4443294
827,47.066285,15.4458905
828,47.0664954,15.4461875
179,47.0667605,15.4462725
55,47.0676334,15.4464342
56,47.0678499,15.4459861
57,47.0681211,15.4455558
2147,47.0684658,15.4460118
6117,47.0686765,15.4462109
343,47.0690025,15.4465514
3767,47.0701538,15.4475879
7254,47.0704556,15.4477997
112,47.070497,15.4478189
230,47.0710868,15.4482386
863,47.0718922,15.4487149
3700,47.0720952,15.4489425
222,47.0721264,15.4505846
5750,47.0721405,15.4506837
361,47.0721548,15.4507904
364,47.0724634,15.4523535
3966,47.0734093,15.4540888
3967,47.0737061,15.4546243
673,47.0741093,15.4557074
7996,47.0745811,15.4570668
7997,47.0749099,15.4577614
7267,47.0752934,15.4585567
3701,47.0753561,15.4586922
557,47.0754482,15.4586418
6640,47.0759856,15.4583298
679,47.0760811,15.45828
556,47.0766529,15.4579293
558,47.0771282,15.4575656
330,47.0780106,15.4569767
3718,47.0781558,15.4571165
6138,47.0789239,15.4578569
567,47.0792371,15.4581622
566,47.0801528,15.457418
2729,47.0803453,15.4575305
5170,47.0806766,15.4578829
2733,47.0815574,15.458813
6255,47.081945,15.4592258
3720,47.0820542,15.4593438
3719,47.0826415,15.4599611
1857,47.082727,15.4601393
1856,47.0827552,15.4601982
6496,47.0835947,15.4600778
6113,47.0836977,15.460057
3689,47.0837798,15.4600503
3688,47.084316,15.460043
6386,47.0866457,15.4605693
866,47.0881014,15.4602977
3690,47.0881715,15.460276
875,47.0892188,15.4599074
3759,47.0893529,15.4598606
291,47.0895075,15.4598069
290,47.0899656,15.4595576
5901,47.0901918,15.4596602
292,47.0907196,15.459934
8626,47.0916015,15.4601818
6745,47.0918916,15.4603649
8624,47.0921471,15.4606331
877,47.0924874,15.4610214
3058,47.0935287,15.4622654
881,47.0940449,15.4629897
884,47.0946219,15.463921
8625,47.0956479,15.465809
3064,47.0969066,15.4671982
3065,47.0971217,15.4674055
6900,47.0971288,15.4674137
886,47.0973597,15.467634
5066,47.0982118,15.4686991
5064,47.0990324,15.469754
9105,47.0989451,15.4710001
6899,47.0989595,15.4732002
6734,47.0990595,15.4736006
8248,47.0991251,15.4738384
5263,47.0995102,15.4752843
8247,47.0995368,15.4753805
6742,47.0997151,15.4760031
5096,47.1002113,15.4774562
5995,47.1003647,15.4785586
4795,47.1012611,15.4802337
5996,47.1012807,15.480264
6730,47.1013276,15.4803415
6731,47.101414,15.480486
8283,47.1016746,15.4808927
5208,47.1020708,15.4815931
8907,47.1022405,15.4820301
7527,47.1023053,15.4822292
569,47.1029659,15.4838892
5895,47.1034626,15.4854992
2717,47.1043325,15.4869246
5884,47.1051878,15.4880166
5885,47.105526,15.4883228
5892,47.1056106,15.4883753
5886,47.1057784,15.4884793
5887,47.1061359,15.4885564
2672,47.1065128,15.4886507
2673,47.1064457,15.488973
9328,47.1066257,15.4914178
