node,x,y
175,47.0649845,15.4432245
8224,47.0646369,15.4436634
176,47.0639172,15.4441848
6088,47.0624582,15.4450231
6089,47.0615715,15.4455158
8050,47.0614174,15.445044
6485,47.0612288,15.4444379
6484,47.0611775,15.4442902
7222,47.0610712,15.444355
7476,47.0595424,15.4451785
7541,47.0591465,15.4453868
1194,47.0588883,15.445514
9439,47.0569625,15.4465397
1280,47.0564817,15.4467988
8026,47.0560355,15.4470663
8028,47.0558722,15.447191
7139,47.0558241,15.4472384
1374,47.055729,15.4473861
1375,47.0556104,15.4474536
4156,47.0543331,15.4484173
4152,47.0538642,15.4487549
4153,47.0532962,15.4491782
6813,47.0531083,15.449321
1188,47.0528378,15.4495303
7540,47.0514329,15.4505425
6806,47.0511117,15.4507878
6808,47.0505471,15.4512114
4154,47.0495136,15.4519969
4155,47.048924,15.4524422
7539,47.0486039,15.4526707
8025,47.0480002,15.4531256
7320,47.0474267,15.4535577
5840,47.047352,15.4536206
5841,47.0473152,15.4538088
8546,47.0473274,15.4542862
8547,47.0473328,15.4547473
1378,47.0472119,15.4559043
1379,47.0471489,15.4566391
1651,47.0469867,15.4585508
7778,47.0469258,15.4591426
722,47.0442821,15.4628227
723,47.0439024,15.4632426
6552,47.043741,15.4634488
6495,47.0431524,15.4642401
6988,47.0429753,15.4643441
5802,47.04281,15.4643253
6982,47.042494,15.4638843
8544,47.0421825,15.4637264
6270,47.0418299,15.4636603
415,47.0415277,15.4636965
416,47.0410795,15.4644341
3959,47.0410348,15.4645561
6268,47.0409455,15.4647817
8543,47.0409083,15.4648741
