node,x,y
175,47.0649845,15.4432245
195,47.0644558,15.4426864
1845,47.064356,15.4421078
7247,47.0644518,15.4416642
7246,47.0645143,15.4412626
1844,47.0645166,15.4412354
7245,47.0645795,15.440694
1842,47.0645989,15.440573
3652,47.0645537,15.4402041
193,47.0644464,15.4397072
3817,47.0650122,15.4393331
153,47.0658758,15.438762
152,47.0664625,15.4383692
5863,47.0671071,15.4379141
5749,47.0672551,15.4378208
3934,47.0679685,15.4373804
523,47.0688686,15.436846
7924,47.0689722,15.4367732
7923,47.0690582,15.436692
8255,47.0691385,15.4366161
155,47.0694558,15.4363238
154,47.0694918,15.4362694
6991,47.0695119,15.4359731
157,47.0695164,15.4358185
156,47.0695281,15.4357357
703,47.0695401,15.435643
702,47.069542,15.4355881
704,47.0695692,15.4347728
7972,47.069571,15.4346433
160,47.069592,15.4340315
8472,47.0696134,15.4333304
3532,47.0696338,15.4326307
159,47.0696707,15.4317229
158,47.0696995,15.4314132
8147,47.0697586,15.4313337
3531,47.0698446,15.4312443
8146,47.0708456,15.4307579
3634,47.0709218,15.4307202
3528,47.0709931,15.4307267
4095,47.0709903,15.4304186
4096,47.0709967,15.4302617
8468,47.071009,15.4299858
8469,47.0710457,15.4291552
481,47.071064,15.4287667
2140,47.0712417,15.4246672
2142,47.0713249,15.4227282
5765,47.0714043,15.4213585
7295,47.0713476,15.4206351
260,47.0712968,15.4194852
259,47.0712931,15.4193327
5763,47.0712448,15.4190129
5764,47.0711873,15.4186121
2168,47.0711497,15.4183488
2167,47.0710413,15.4175397
2166,47.0709014,15.4166017
2165,47.0708321,15.4161932
7299,47.0707132,15.4149727
6793,47.070725,15.4148506
6792,47.0705231,15.4131013
7193,47.0704436,15.4125057
7192,47.0701656,15.410347
7197,47.0700123,15.4096284
534,47.070044,15.4093046
3519,47.070077,15.4065001
3798,47.0703466,15.4041896
2483,47.0704464,15.4035038
8373,47.0704608,15.4034031
3514,47.0705701,15.4026485
2075,47.0706384,15.4022243
2055,47.0706658,15.4020537
3406,47.0707449,15.4012887
6316,47.0707398,15.4011584
8263,47.0708376,15.3995769
2039,47.0713913,15.3980932
9118,47.0707043,15.3974782
9115,47.0700245,15.3968275
9117,47.0705789,15.394239
1840,47.0707502,15.3934147
3538,47.0708073,15.3931401
1839,47.0715199,15.3908304
6031,47.0747655,15.3904085
